,url,league_name,Club,Defensive Style,Offensive Style,Domestic Prestige,International Prestige
0,241,Spain Primera Division ,FC Barcelona,Pressure On Heavy Touch,Possession,10,10
1,11,English Premier League ,Manchester United,Press After Possession Loss,Balanced,10,10
2,5,English Premier League ,Chelsea,Press After Possession Loss,Possession,9,9
3,243,Spain Primera Division ,Real Madrid,Pressure On Heavy Touch,Possession,10,10
4,1,English Premier League ,Arsenal,Press After Possession Loss,Possession,8,8
5,9,English Premier League ,Liverpool,Press After Possession Loss,Balanced,9,8
6,22,German 1. Bundesliga ,Borussia Dortmund,Press After Possession Loss,Possession,8,7
7,21,German 1. Bundesliga ,FC Bayern M\xc3\xbcnchen,Press After Possession Loss,Possession,10,9
8,10,English Premier League ,Manchester City,Press After Possession Loss,Possession,10,9
9,73,French Ligue 1 ,Paris Saint-Germain,Press After Possession Loss,Possession,10,10
10,245,Holland Eredivisie ,Ajax,Press After Possession Loss,Possession,10,5
11,240,Spain Primera Division ,Atl\xc3\xa9tico Madrid,Press After Possession Loss,Balanced,9,9
12,191,Austrian Football Bundesliga ,FC Red Bull Salzburg,Press After Possession Loss,Possession,10,6
13,44,Italian Serie A ,Inter,Pressure On Heavy Touch,Balanced,9,7
14,47,Italian Serie A ,Milan,Pressure On Heavy Touch,Balanced,7,7
15,45,Italian Serie A ,Juventus,Press After Possession Loss,Possession,10,10
16,18,English Premier League ,Tottenham Hotspur,Press After Possession Loss,Possession,9,8
17,112172,German 1. Bundesliga ,RB Leipzig,Press After Possession Loss,Long Ball,8,6
18,1943,English Premier League ,Bournemouth,Balanced,Possession,3,3
19,48,Italian Serie A ,Napoli,Pressure On Heavy Touch,Balanced,9,7
20,7,English Premier League ,Everton,Balanced,Possession,7,6
21,32,German 1. Bundesliga ,Bayer 04 Leverkusen,Press After Possession Loss,Possession,7,6
22,52,Italian Serie A ,Roma,Pressure On Heavy Touch,Balanced,9,8
23,34,German 1. Bundesliga ,FC Schalke 04,Pressure On Heavy Touch,Long Ball,8,6
24,95,English Premier League ,Leicester City,Balanced,Possession,5,5
25,461,Spain Primera Division ,Valencia CF,Pressure On Heavy Touch,Long Ball,8,6
26,110,English Premier League ,Wolverhampton Wanderers,Pressure On Heavy Touch,Balanced,3,1
27,66,French Ligue 1 ,Olympique Lyonnais,Press After Possession Loss,Balanced,8,6
28,19,English Premier League ,West Ham United,Balanced,Balanced,6,5
29,110374,Italian Serie A ,Fiorentina,Press After Possession Loss,Balanced,7,6
30,247,Holland Eredivisie ,PSV,Press After Possession Loss,Possession,10,5
31,1792,English Premier League ,Norwich City,Balanced,Possession,6,1
32,449,Spain Primera Division ,Real Betis,Press After Possession Loss,Possession,5,2
33,1824,German 1. Bundesliga ,Eintracht Frankfurt,Press After Possession Loss,Possession,5,4
34,38,German 1. Bundesliga ,SV Werder Bremen,Balanced,Possession,5,4
35,234,Portuguese Liga ZON SAGRES ,SL Benfica,Press After Possession Loss,Balanced,10,7
36,481,Spain Primera Division ,Sevilla FC,Press After Possession Loss,Balanced,7,7
37,69,French Ligue 1 ,AS Monaco,Pressure On Heavy Touch,Balanced,9,6
38,219,French Ligue 1 ,Olympique de Marseille,Balanced,Balanced,7,5
39,2,English Premier League ,Aston Villa,Balanced,Balanced,8,2
40,13,English Premier League ,Newcastle United,Balanced,Balanced,5,3
41,110679,German 3. Bundesliga ,Bayern M\xc3\xbcnchen II,Balanced,Balanced,4,1
42,236,Portuguese Liga ZON SAGRES ,FC Porto,Press After Possession Loss,Possession,10,8
43,74,French Ligue 1 ,Stade Rennais FC,Balanced,Balanced,5,3
44,237,Portuguese Liga ZON SAGRES ,Sporting CP,Press After Possession Loss,Possession,9,4
45,65,French Ligue 1 ,LOSC Lille,Press After Possession Loss,Possession,6,4
46,17,English Premier League ,Southampton,Pressure On Heavy Touch,Long Ball,5,4
47,39,Italian Serie A ,Atalanta,Press After Possession Loss,Possession,6,3
48,23,German 1. Bundesliga ,Borussia M\xc3\xb6nchengladbach,Pressure On Heavy Touch,Possession,6,5
49,50,Italian Serie A ,Parma,Drop Back,Long Ball,4,2
50,457,Spain Primera Division ,Real Sociedad,Balanced,Balanced,5,3
51,325,Turkish Süper Lig ,Galatasaray SK,Pressure On Heavy Touch,Possession,10,7
52,28,German 2. Bundesliga ,Hamburger SV,Press After Possession Loss,Possession,10,3
53,10029,German 1. Bundesliga ,TSG 1899 Hoffenheim,Press After Possession Loss,Balanced,6,5
54,175,German 1. Bundesliga ,VfL Wolfsburg,Balanced,Balanced,5,4
55,326,Turkish Süper Lig ,Fenerbah\xc3\xa7e SK,Balanced,Possession,10,7
56,190,Italian Serie A ,Brescia,Balanced,Balanced,7,2
57,448,Spain Primera Division ,Athletic Club de Bilbao,Balanced,Long Ball,6,6
58,8,English League Championship ,Leeds United,Press After Possession Loss,Possession,7,1
59,1799,English Premier League ,Crystal Palace,Pressure On Heavy Touch,Balanced,4,4
60,1795,English Premier League ,Watford,Balanced,Balanced,4,3
61,166,German 1. Bundesliga ,Hertha BSC,Press After Possession Loss,Balanced,6,4
62,211,Croatian Prva HNL ,Dinamo Zagreb,Pressure On Heavy Touch,Balanced,10,4
63,46,Italian Serie A ,Lazio,Balanced,Balanced,7,6
64,1794,English Premier League ,Sheffield United,Balanced,Balanced,2,1
65,144,English League Championship ,Fulham,Press After Possession Loss,Possession,2,2
66,36,German 2. Bundesliga ,VfB Stuttgart,Pressure On Heavy Touch,Long Ball,6,4
67,1842,Italian Serie A ,Cagliari,Balanced,Possession,4,1
68,327,Turkish Süper Lig ,Be\xc5\x9fikta\xc5\x9f JK,Press After Possession Loss,Possession,10,7
69,113926,English League Two ,Salford City,Pressure On Heavy Touch,Long Ball,8,1
70,78,Scottish Premiership ,Celtic,Press After Possession Loss,Possession,10,4
71,72,French Ligue 1 ,OGC Nice,Press After Possession Loss,Possession,6,3
72,229,Belgian Jupiler Pro League ,RSC Anderlecht,Pressure On Heavy Touch,Balanced,10,7
73,1879,Mexican Liga MX ,Club Am\xc3\xa9rica,Balanced,Balanced,10,9
74,1877,Argentina Primera División  ,Boca Juniors,Pressure On Heavy Touch,Balanced,10,9
75,483,Spain Primera Division ,Villarreal CF,Pressure On Heavy Touch,Balanced,8,7
76,105035,International,Netherlands,Press After Possession Loss,Balanced,,8
77,31,German 1. Bundesliga ,1. FC K\xc3\xb6ln,Pressure On Heavy Touch,Possession,10,3
78,101088,Argentina Primera División  ,V\xc3\xa9lez Sarsfield,Press After Possession Loss,Possession,5,5
79,1370,International,Brazil,Pressure On Heavy Touch,Possession,,10
80,1808,English Premier League ,Brighton & Hove Albion,Pressure On Heavy Touch,Balanced,2,1
81,1335,International,France,Pressure On Heavy Touch,Balanced,,9
82,452,Spain Primera Division ,RCD Espanyol,Pressure On Heavy Touch,Balanced,5,2
83,169,German 1. Bundesliga ,1. FSV Mainz 05,Press After Possession Loss,Long Ball,4,3
84,246,Holland Eredivisie ,Feyenoord,Balanced,Possession,10,4
85,450,Spain Primera Division ,RC Celta,Press After Possession Loss,Balanced,5,4
86,25,German 1. Bundesliga ,SC Freiburg,Balanced,Balanced,1,2
87,110556,Italian Serie A ,Genoa,Balanced,Balanced,4,2
88,1337,International,Germany,Press After Possession Loss,Possession,,10
89,462,Spain Primera Division ,Real Valladolid CF,Pressure On Heavy Touch,Long Ball,2,1
90,91,English League Championship ,Derby County,Press After Possession Loss,Possession,8,1
91,1876,Argentina Primera División  ,River Plate,Press After Possession Loss,Long Ball,10,9
92,436,Turkish Süper Lig ,Trabzonspor,Press After Possession Loss,Possession,6,5
93,1880,Mexican Liga MX ,Guadalajara,Balanced,Balanced,9,8
